Key,Desc,Default,French
"The line tool can be used for basic measuring, or click it to ping the area. You may hold the line tool key (default: TAB) to activate this while in other modes. Doing so while holding an object will measure from the pickup point (Auto mode only).",,"The line tool can be used for basic measuring, or click it to ping the area. You may hold the line tool key (default: TAB) to activate this while in other modes. Doing so while holding an object will measure from the pickup point (Auto mode only).","L'outil de ligne peut être utilisé pour la mesure de base, ou cliquez dessus pour la zone ping. Vous pouvez maintenir la touche outil de ligne (par défaut: TAB) pour activer ce alors que dans d'autres modes. Ce faisant, tout en maintenant un objet mesurera à partir du point de pick-up (mode automatique uniquement)."
The mass of the object (arbitrary units). You should not make masses more or less than 100 times that of other Rigidbodies.,,The mass of the object (arbitrary units). You should not make masses more or less than 100 times that of other Rigidbodies.,La masse de l'objet (unités arbitraires). Vous ne devriez pas faire des masses plus ou moins de 100 fois celle des autres corps rigides.
The material the object is made out of. Affects the sounds and shader of the object. You can control the shader below.,,The material the object is made out of. Affects the sounds and shader of the object. You can control the shader below.,Le matériau de l'objet est fabriqué à partir de. Affecte les sons et shader de l'objet. Vous pouvez contrôler le shader ci-dessous.
The material the object is made out of. Affects the sounds that object makes. These sounds can be overriden using the TTSAssetBundleSound script.,,The material the object is made out of. Affects the sounds that object makes. These sounds can be overriden using the TTSAssetBundleSound script.,Le matériau de l'objet est fabriqué à partir de. Affecte les sons cet objet fait. Ces sons peuvent être surchargée en utilisant le script TTSAssetBundleSound.
The max number of players in the server.,,The max number of players in the server.,Le nombre maximum de joueurs dans le serveur.
The maximum distance between the bodies relative to their initial distance.,,The maximum distance between the bodies relative to their initial distance.,La distance maximale entre les corps par rapport à leur distance initiale.
The minimum distance between the bodies relative to their initial distance.,,The minimum distance between the bodies relative to their initial distance.,La distance minimum entre les corps par rapport à leur distance initiale.
"The most reduced physics mode. Objects that are at rest will no longer interact with other objects. No throwing, clumping, lowering, or pushing.",,"The most reduced physics mode. Objects that are at rest will no longer interact with other objects. No throwing, clumping, lowering, or pushing.","Le mode de physique le plus réduit. Les objets qui sont au repos ne interagissent plus avec d'autres objets. No throwing, clumping, lowering, or pushing."
The motor will apply a force up to a maximum force to achieve the velocity in degrees per second.,,The motor will apply a force up to a maximum force to achieve the velocity in degrees per second.,Le moteur applique une force à une force maximale pour atteindre la vitesse en degrés par seconde.
The name for the server.,,The name for the server.,Le nom du serveur.
The name of the asset.,,The name of the asset.,Le nom de l'actif.
The name of the audio asset.,,The name of the audio asset.,Le nom de l'actif audio.
The name of the decal.,,The name of the decal.,Le nom de l'autocollant.
The number of pixels the game uses to render. Recommended to be the same as your monitor.,,The number of pixels the game uses to render. Recommended to be the same as your monitor.,Le nombre de pixels que le jeu utilise pour le rendu. Recommandé d'utiliser la même que votre écran.
The object will stretch to match the aspect ratio of the supplied image.,,The object will stretch to match the aspect ratio of the supplied image.,L'objet s'étirer pour correspondre au rapport d'aspect de l'image fournie.
The password for the server. Only usable for public servers.,,The password for the server. Only usable for public servers.,Le mot de passe pour le serveur. Utilisable uniquement pour les serveurs publics.
The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.,,The points tool can be used to create snap points and rotate snap points to make placing objects down much easier and smoother. Clicking on an unlocked object will place the snap point right where it's place. Clicking on a locked object will attache the snap point to that object.,L'outil de points peut être utilisé pour créer des points d'accrochage et les points d'accrochage pour faire pivoter de placer des objets vers le bas beaucoup plus facile et plus lisse. En cliquant sur un objet déverrouillé placera le point déclic là où sa place. En cliquant sur un objet verrouillé ATTACHE le point clin d'oeil à cet objet.
"The quality, filtering, and distance of shadows. Also affects the lighting quality.",,"The quality, filtering, and distance of shadows. Also affects the lighting quality.","La qualité, le filtrage et la distance des ombres. Affecte également la qualité de l'éclairage."
"The reflective color of the object. RGB 255, 255, 255.",,"The reflective color of the object. RGB 255, 255, 255.","La couleur réfléchissante de l'objet. RVB 255, 255, 255."
The saved objects menu is where you can saved and spawn any of your custom objects. You can click to spawn or drag and drop.,,The saved objects menu is where you can saved and spawn any of your custom objects. You can click to spawn or drag and drop.,Le menu objets enregistrés est l'endroit où vous pouvez sauver et reproduire l'un de vos objets personnalisés. Vous pouvez cliquer pour spawn ou glisser-déposer.
The size of the decal in inches.,,The size of the decal in inches.,La taille de l'autocollant en pouces.
The spring force used to keep the two objects together.,,The spring force used to keep the two objects together.,La force du ressort utilisé pour maintenir les deux objets ensemble.
The text tool can be used to write text on any locked object. You can change the size of the font and the color.,,The text tool can be used to write text on any locked object. You can change the size of the font and the color.,L'outil de texte peut être utilisé pour écrire du texte sur un objet verrouillé. Vous pouvez modifier la taille de la police et la couleur.
The thickness or depth of the mesh.,,The thickness or depth of the mesh.,L'épaisseur ou la profondeur de la maille.
The torque that needs to be applied for this joint to break.,,The torque that needs to be applied for this joint to break.,Le couple qui doit être appliqué pour ce joint à la rupture.
The type of the game you are playing (Used to search for games).,,The type of the game you are playing (Used to search for games).,Le type de jeu auquel vous jouez (Utilisé pour rechercher des jeux).
The zone tool is a collection of tools that deal with rectangle areas.,,The zone tool is a collection of tools that deal with rectangle areas.,L'outil Zone est une collection d'outils qui traitent des zones rectangulaires.
Thematic Games,,Thematic Games,Jeux thématiques
Theme,,Theme,Thème
Theme Editor,,Theme Editor,Éditeur de Thème
Theme:,,Theme:,Thème:
Theme: {0},,Theme: {0},Thème: {0}
"There are a lot of tips, tricks and tutorials that can really enchance your gameplay and prototyping in our Knowledge Base.",,"There are a lot of tips, tricks and tutorials that can really enchance your gameplay and prototyping in our Knowledge Base.","Il y a beaucoup de conseils, des astuces et des tutoriels qui peuvent vraiment enrichir votre gameplay et le prototypage dans notre Documentation."
There tags are used to filter your games.,,There tags are used to filter your games.,Là balises sont utilisées pour filtrer vos jeux.
Theses backgrounds provide the different lighting effects on the objects.,,Theses backgrounds provide the different lighting effects on the objects.,Thèses arrière-plans fournissent les différents effets d'éclairage sur les objets.
Thick,,Thick,Épais
Thickness,,Thickness,Épaisseur
Thief,,Thief,Voleur
Thin,,Thin,Mince
This Menu,,This Menu,Ce menu
This determines how objects are hidden in hands.,,This determines how objects are hidden in hands.,Cela détermine comment les objets sont cachés dans les mains.
"This is an advanced feature that gives you more control on how multiple objects work together. You can create moving wheels, spinners, and much more.",,"This is an advanced feature that gives you more control on how multiple objects work together. You can create moving wheels, spinners, and much more.","Ceci est une fonctionnalité avancée qui vous donne plus de contrôle sur la façon dont plusieurs objets fonctionnent ensemble. Vous pouvez créer des roues en mouvement, filateurs, et bien plus encore."
This is an advanced feature which gives you control on the physics and materials of objects.,,This is an advanced feature which gives you control on the physics and materials of objects.,Ceci est une fonctionnalité avancée qui vous permet de contrôler sur la physique et des matériaux des objets.
This is tags used to search in the Steam Workshop.,,This is tags used to search in the Steam Workshop.,Ceci est les balises utilisées pour la recherche dans la vapeur atelier.
This is the amount of time the current game takes (Used to search for games).,,This is the amount of time the current game takes (Used to search for games).,Ceci est la quantité de temps le jeu en cours prend (utilisé pour rechercher des jeux).
This is the number of players the current game allows (different from the max number of players allowed on the server).,,This is the number of players the current game allows (different from the max number of players allowed on the server).,Ceci est le nombre de joueurs du jeu en cours permet (différent du nombre maximum de joueurs autorisés sur le serveur).
This menu is used to update an existing mod on the Workshop.,,This menu is used to update an existing mod on the Workshop.,Ce menu permet de mettre à jour un mod existant sur le Workshop.
"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.",,"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.","Ce menu permet de mettre en ligne l'état actuel de la table sur le Steam Workshop en tant que jeu. Si vous souhaitez mettre à jour un mod existant que vous avez déjà téléchargé, assurez-vous de choisir l'onglet « Mise à jour Workshop ». Sinon, vous allez générer plusieurs versions de votre mod."
"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the Update Workshop tab. If not, you will generate multiple versions of your mod.",,"This menu is used to upload the current state of the table to Steam Workshop as a game. If you wish to update an existing mod you have already uploaded, make sure to choose the ""Update Workshop"" tab. If not, you will generate multiple versions of your mod.  <Click to open page to knowledge base.>","Ce menu permet de mettre en ligne l'état actuel de la table sur le Steam Workshop en tant que jeu. Si vous souhaitez mettre à jour un mod existant que vous avez déjà téléchargé, assurez-vous de choisir l'onglet « Mise à jour Workshop ». Sinon, vous allez générer plusieurs versions de votre mod. <Cliquez pour ouvrir la Documentation>"
This object will hold one object inside with an infinite number of them.,,This object will hold one object inside with an infinite number of them.,Cet objet détiendra un objet à l'intérieur avec un nombre infini d'entre eux.
This object will hold others inside.,,This object will hold others inside.,Cet objet organisera d'autres à l'intérieur.
This only takes effect if you are using the gradient mode above.,,This only takes effect if you are using the gradient mode above.,Cela ne prend effet que si vous utilisez le mode de gradient ci-dessus.
"This switches you between 3 different camera modes: 3rd Person (Default), 1st Person & Topdown.",,"This switches you between 3 different camera modes: 3rd Person (Default), 1st Person & Topdown.","Change de mode de caméra : 3ème personne (par défaut), 1ère personne et une vue depuis le haut en direction de la table en bas."
Tile,,Tile,Tuile
Tileset,,Tileset,tileset
Tilt Angle,,Tilt Angle,Angle d'inclinaison
Tilt Mode,,Tilt Mode,Tilt mode
Time to move those feet!,,Time to move those feet!,Il est temps de déplacer vos pieds !
Timer,,Timer,Minuteur
Timer Seconds,,Timer Seconds,Secondes de la minuterie
Timestamp Game,,Timestamp Game,Horodater le Tchat Local
Timestamp Global,,Timestamp Global,Horodater le Tchat Global
Timestamp System,,Timestamp System,Horodater les Messages Systèmes
Timestamp Team,,Timestamp Team,Horodater le Tchat Équipe
Timestamps,,Timestamps,Horodates
Title,,Title,Titre
"To select more than one object, hold and press the left mouse button over each object you want to select. Alternatively, you can drag a box around multiple objects to select them.",,"To select more than one object, hold and press the left mouse button over each object you want to select. Alternatively, you can drag a box around multiple objects to select them.","Pour sélectionner plus d'un objet, maintenez Ctrl et appuyez sur Clique Gauche sur chaque objet. Sinon, vous pouvez faire glisser une boîte autour de plusieurs objets pour les sélectionner."
"To use double digits, just type them quickly. There is a slight delay before the dice changes.",,"To use double digits, just type them quickly. There is a slight delay before the dice changes.","Pour utiliser deux chiffres, il suffit de les taper rapidement. Il y a un léger retard avant que les dés ne changent."
Toggle,,Toggle,Bascule
Toggle Lua scripting on or off.,,Toggle Lua scripting on or off.,scripts Lua bascule ou désactiver.
Toggle between a thin or thick line.,,Toggle between a thin or thick line.,Bascule entre une ligne fine ou épaisse.
Toggle between using the ambient light of the selected background or the gradient colors below.,,Toggle between using the ambient light of the selected background or the gradient colors below.,Bascule entre l'utilisation de la lumière ambiante de l'arrière-plan sélectionnée ou les couleurs de gradient ci-dessous.
Toggle between window or fullscreen.,,Toggle between window or fullscreen.,Bascule entre le mode fenêtré ou plein écran.
Toggle revealing of Fog of War by this piece.,,Toggle revealing of Fog of War by this piece.,Basculer révélant de brouillard de guerre par cette pièce.
Toggles,,Toggles,Activer
Token,,Token,Jeton
Tool,,Tool,Outil
Tool Icon Colored,,Tool Icon Colored,Outil icône de couleur
Tools,,Tools,Outils
Tooltip,,Tooltip,Infobulle
Tooltips Action Enabled,,Tooltips Action Enabled,Action infobulles activé
Tooltips Always On,,Tooltips Always On,Toujours infobulles
Tooltips Initial Duration,,Tooltips Initial Duration,TOOLTIPS Durée initiale
Top Down,,Top Down,Haut
Top Image,,Top Image,image Haut
Top Menu,,Top Menu,Menu principal
Touch,,Touch,Toucher
Touch (Pad Down) on a controller while hovering over an object (with either controller).,,Touch <Pad Down> on a controller while hovering over an object (with either controller).,Appuyez sur <Pad Down> sur un contrôleur tout en planant au-dessus d'un objet (soit avec le contrôleur).
Trading Card Games,,Trading Card Games,Jeux de cartes à collectionner
Transform Space,,Transform Space,Transformer l'espace
Tree,,Tree,Arbre
Tree Ent,,Tree Ent,arbre Ent
Trigger Effect,,Trigger Effect,effet déclencheur
Troll,,Troll,Troll
Tunnel,,Tunnel,Tunnel
Turn (Click to skip),,Turn (Click to skip),Tourner (Cliquez pour sauter)
Turns,,Turns,Tours
Turns allow an easy way to keep track of who should be playing.,,Turns allow an easy way to keep track of who should be playing.,Les Tours permettent de garder une trace de qui devrait jouer.
Tutorial,,Tutorial,Didacticiel
Tutorial Test Font,,Tutorial Test Font,Tutoriel de Test de polices [Note : Merci d'utiliser ma traduction FR cela fait très plaisir <3 ^_^ - Tenebrosful]
Type,,Type,Type
Type determines the shape of the cards.,,Type determines the shape of the cards.,Type détermine la forme des cartes.
Type help in both the GLOBAL and GAME tabs to bring up all the chat commands for each tab.,,Type /help in both the GLOBAL and GAME tabs to bring up all the chat commands for each tab.,Écrivez '/help' dans GLOBAL ou JEU pour afficher toutes les commandes de chat pour chaque onglet.
Type of server you want to have. This limits who can join.,,Type of server you want to have. This limits who can join.,Type de serveur que vous voulez avoir. Cela limite qui peut se joindre.
UI Mode,,UI Mode,mode de l'interface utilisateur
UI Scale,,UI Scale,Échelle de l'interface
UI Tooltip Delay,,UI Tooltip Delay,Temps infobulle interface
UPDATE,,Update,Mise à jour
UP_THEN_LEFT,,Up / Left,En haut à gauche
UP_THEN_RIGHT,,Up / Right,Up / droite
URL,,URL,URL
Ultra,,Ultra,Ultra
Under,,Under,Sous
Unique Backs,,Unique Backs,Backs uniques
Units,,Units,Unités
Unknown Title,,Unknown Title,Titre inconnu
Up,,Up,Haut
Update Existing Mod,,Update Existing Mod,Mise à jour des Mods existants
Update Workshop,,Update Workshop,Mise à jour Workshop
Updated,,Updated,Actualisé
Upload,,Upload,Uploader
Upload All Loaded Files,,Upload All Loaded Files,Uploader Tous les fichiers Chargés
Upload File,,Upload File,Uploader un fichier
Upload Local File,,Upload Local File,Uploader le fichier local
Upload Workshop,,Upload Workshop,Uploader Workshop
"Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache.",,"Upload all currently loaded custom files to the Steam Cloud. Great for converting your local content to work in multiplayer or backing up mods with dead links to the Steam Cloud. Custom files must be cached to disk to work, so search any bags first to force a cache.","Téléchargez tous les fichiers personnalisés chargés sur le Steam Cloud. Idéal pour la conversion de votre contenu local au travail en mode multijoueur ou la sauvegarde de mods avec des liens morts du Steam Cloud. Les fichiers personnalisés doivent être mises en cache sur le disque au travail, de sorte que la première recherche des sacs force un cache."
Upload all loaded custom files to the Steam Cloud?,,Upload all loaded custom files to the Steam Cloud?,Téléchargez tous les fichiers personnalisés chargés à la Steam Cloud?
Upload file to the Steam Cloud or load from your local disk. (Note: Local files will not work in multiplayer),,Upload file to the Steam Cloud or load from your local disk. (Note: Local files will not work in multiplayer),Télécharger un fichier à la vapeur Cloud ou charge à partir de votre disque local. (Note: Les fichiers locaux ne fonctionnent pas en multijoueur)
"Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader material support, animations, sounds, lights, particles, and much more.",,"Upload your AssetBundle to a web host, then copy paste the direct link here. This is an advanced feature for people that know how to use the Unity engine. You can find a link to the project on our Knowledge base. AssetBundles give full shader / material support, animations, sounds, lights, particles, and much more.","Téléchargez votre AssetBundle à un hébergeur, puis copiez collez le lien direct ici. Ceci est une fonctionnalité avancée pour les gens qui savent comment utiliser le moteur Unity. Vous pouvez trouver un lien vers le projet sur notre base de connaissances. AssetBundles donnent Shader complet / support matériel, animations, sons, lumières, particules, et bien plus encore."
"Upload your PDF File to a web host, then copy paste the direct link here.",,"Upload your PDF File to a web host, then copy paste the direct link here.","Téléchargez votre fichier PDF à un hébergeur, puis copiez collez le lien direct ici."
"Upload your audio to a web host, then copy paste the direct link here.",,"Upload your audio to a web host, then copy paste the direct link here.","Téléchargez votre audio à un hébergeur, puis copiez collez le lien direct ici."
"Upload your image to a web host, then copy paste the direct link here.",,"Upload your image to a web host, then copy paste the direct link here.","Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici."
"Upload your image to a web host, then copy paste the direct link here. JPG or PNG.",,"Upload your image to a web host, then copy paste the direct link here. JPG or PNG.","Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici. JPG ou PNG."
"Upload your image to a web host, then copy paste the direct link here. JPG or PNG. (256x16)",,"Upload your image to a web host, then copy paste the direct link here. JPG or PNG. (256x16)","Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici. JPG ou PNG. (256x16)"
"Upload your image to a web host, then copy paste the direct link here. PNG with transparency recommended.",,"Upload your image to a web host, then copy paste the direct link here. PNG with transparency recommended.","Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici. PNG avec transparence recommandé."
"Upload your model to a web host, then copy paste the direct link here. Make sure it's triangulated.",,"Upload your model to a web host, then copy paste the direct link here. Make sure it's triangulated.","Téléchargez votre modèle à un hébergeur, puis copiez collez le lien direct ici. Assurez-vous qu'il est triangulé."
Use (Dpad) to pan the camera around.,,Use <Dpad> to pan the camera around.,Utilisez <Dpad> pour déplacer la caméra autour de.
Use (Right Trigger) or (Left Trigger) while holding an object.,,Use <Right Trigger> or <Left Trigger> while holding an object.,Utilisez <Gâchette droite> ou <gâchette gauche> tout en maintenant un objet.
Use (WASD) to pan the camera around.,,Use <WASD> to pan the camera around.,Utilisez <WASD> pour déplacer la caméra. [Note : ZQSD peut être configuré dans les contrôles ^_^]
Use ({0}) on an object to bring it up.,,Use <{0}> on an object to bring it up.,Utilisez <{0}> sur un objet pour le mettre en place.
Use Gravity,,Use Gravity,Utilisez la gravité
Use a two finger rotate gesture on an object.,,Use a two finger rotate gesture on an object.,Utilisez un geste de rotation de deux doigts sur un objet.
Use for main object movement like grabbing and flipping when playing a game.,,Use for main object movement like grabbing and flipping when playing a game.,Utilisation pour principal mouvement d'objet comme saisissant et retournement lors de la lecture d'un jeu.
Use high resolution HDRI Panorama. ((4000x2000),,Use high resolution HDRI Panorama. (<4000x2000),Utilisez HDRI Panorama haute résolution. (<4000x2000)
Use multiple cores of your CPU to load mods faster. If you are unable to load any mods try turning this off.,,Use multiple cores of your CPU to load mods faster. If you are unable to load any mods try turning this off.,Utilisez plusieurs cœurs de votre processeur pour charger plus rapidement les Mods. Si vous ne parvenez pas à charger les mods essayer de désactiver cette option.
Use pinch to zoom in and out.,,Use pinch to zoom in and out.,Utilisez pincer pour zoomer et dézoomer.
"Use the Gizmo to manipulate an object's position, rotation, and scale.",,"Use the Gizmo to manipulate an object's position, rotation, and scale.","Utilisez le Gizmo pour manipuler la position d'un objet, la rotation et l'échelle."
Use the pixel paint tool for a more cartoony and pixelated look. Hold shift to draw straight lines.,,Use the pixel paint tool for a more cartoony and pixelated look. Hold shift to draw straight lines.,Utilisez l'outil de peinture de pixels pour un look plus cartoonesque et pixellisée. décalage de maintien pour tracer des lignes droites.
Use the scroll wheel to zoom in and out.,,Use the scroll wheel to zoom in and out.,Utilisez la molette de défilement pour zoomer et dézoomer.
Use this to supply custom value to dice or tile sides.,,Use this to supply custom value to dice or tile sides.,Utilisez cette option pour fournir valeur personnalisée à dés ou sur les côtés de tuiles.
Use to move an object in space. Snap move. Screen space translation.,,Use to move an object in space. Snap move. Screen space translation.,Utilisez pour déplacer un objet dans l'espace. déplacer tournemain. Traduction de l'espace écran.
Use to rotate an object. Snap rotate.,,Use to rotate an object. Snap rotate.,Utiliser pour faire pivoter un objet. Snap tourner.
Use to scale an object by stretching its sides. Snap scaling. Scale from center.,,Use to scale an object by stretching its sides. Snap scaling. Scale from center.,Utiliser à l'échelle d'un objet en étirant ses côtés. mise à l'échelle tournemain. Échelle du centre.
Use to scale an object. Snap scaling. Uniform scale.,,Use to scale an object. Snap scaling. Uniform scale.,Utilisez à l'échelle d'un objet. mise à l'échelle tournemain. échelle uniforme.
Use two fingers in a dragging motion.,,Use two fingers in a dragging motion.,Utiliser deux doigts dans un mouvement de glissement.
Use your (Right Stick).,,Use your <Right Stick>.,Utilisez votre <Stick droit>.
User Interfaces,,User Interfaces,Interfaces Utilisateur
Utility,,Utility,Utilitaire
VR Settings,,VR Settings,VR Réglages
VR Settings...,,VR Settings...,Réglages VR ...
VSync,,VSync,VSync
Value,,Value,Valeur
Vampire,,Vampire,Vampire
Velocity,,Velocity,Rapidité
Vertical,,Vertical,Verticale
Very High,,Very High,Très haute
Very Low,,Very Low,Très basse
Villains,,Villains,super-vilains
Virtual Hand View,,Virtual Hand View,Vision des mains virtuelles
Visibility,,Visibility,Interface
Visible,,Visible,Visible
Visual Mode,,Visual Mode,Mode visuel
Visualize Field of View.,,Visualize Field of View.,Visualize Champ de vision.
Visualize FoV,,Visualize FoV,Visualize FoV
Voice Chat,,Voice Chat,Tchat vocal
Voice Chat Toggle,,Voice Chat Toggle,Voice Chat Toggle
Voice From Player Position,,Voice From Player Position,Voix De Joueur Position
Voice Input,,Voice Input,Volume d'entrée (Voix)
Voice Output,,Voice Output,Volume de sortie (Voix)
Voice Team Chat,,Voice Team Chat,Tchat Vocal d'Équipe
Volume Scale,,Volume Scale,Échelle de volume
WESTWARD,,Westward,vers l'ouest
WORKSHOP,,Workshop,Workshop
Waiting for players,,Waiting for players,En attente de joueurs
Wall,,Wall,Mur
"Want more actions? The contextual menu has all sorts of options. You can deal cards, name objects, color tint, and much more!",,"Want more actions? The contextual menu has all sorts of options.
You can deal cards, name objects, color tint, and much more!","Vous voulez plus d'actions ? Le menu contextuel a toutes sortes d'options.
Vous pouvez distribuer des cartes, nommer des objets, changer de couleur, et bien plus encore !"
Wargames,,Wargames,Jeux de guerre
Warrior,,Warrior,Guerrier
We could not find this Workshop item. It was likely deleted. Do you want to unsubscribe from the following Workshop item?,,We could not find this Workshop item. It was likely deleted. Do you want to unsubscribe from the following Workshop item?,Nous ne pouvions pas trouver cet article du Workshop. Il a probablement été supprimé. Voulez-vous vous désabonner de cet objet ?
Website URL,,Website URL,URL web
Welcome to the tutorial!,,Welcome to the tutorial!,Bienvenue dans le tutoriel !
Werewolf,,Werewolf,Loup-garou
When Unrestricted will show the view you see. When Restricted will show the view a Grey spectator would see.,,When Unrestricted will show the view you see. When Restricted will show the view a Grey spectator would see.,Quand montrera Unrestricted la vue que vous voyez. Lorsque restreint montrera le point de vue d'un spectateur gris verrait.
When held object will automatically raise above other potential collisions and ignore collisions when held.,,When held object will automatically raise above other potential collisions and ignore collisions when held.,Lorsque l'objet portatif augmente automatiquement au-dessus d'autres collisions potentielles et ne pas tenir compte des collisions lorsqu'il est maintenu.
When holding an object press plus & to rotate along the other axis. You can also use + your mouse scroll wheel.,,When holding an object press plus & to rotate along the other axis. You can also use + your mouse scroll wheel.,"Lorsque vous tenez un objet, utilisez Alt + pivoter pour tourner le long de l'autre axe. Vous pouvez également utiliser votre molette de défilement de la souris."
When hovering over an object do you want to hightlight it?,,When hovering over an object do you want to hightlight it?,Lorsque vous survolez un objet voulez-vous hightlight il?
"When hovering over tooltips will appear for this object (Name, Description, Icon).",,"When hovering over tooltips will appear for this object (Name, Description, Icon).","Lorsque planant au-dessus infobulles apparaîtra pour cet objet (Nom, Description, Icône)."
When in 2D measurements will be flattened onto the horizontal plane. When in 3D height will be incorporated into the measurement.,,When in 2D measurements will be flattened onto the horizontal plane. When in 3D height will be incorporated into the measurement.,Lorsque des mesures 2D sera aplatie sur le plan horizontal. Lorsque la hauteur 3D seront intégrés dans la mesure.
When measuring from an object: Edge: Measure from its nearest edge Center: Measure from its center,,When measuring from an object: Edge: Measure from its nearest edge Center: Measure from its center,Lors de la mesure d'un objet: Bord: Mesure de son bord le plus proche centre: Mesure de son centre
When object is face down it will be hidden as a question mark.,,When object is face down it will be hidden as a question mark.,"Lorsque l'objet est face vers le bas, il sera caché comme un point d'interrogation."
When object is inside fog of war it will remain visible.,,When object is inside fog of war it will remain visible.,"Lorsque l'objet est à l'intérieur du brouillard de la guerre, il reste visible."
"When objects are dropped, they snap to the closest position on the grid. Objects must have grid enabled on their toggle menu to snap.",,"When objects are dropped, they snap to the closest position on the grid. Objects must have grid enabled on their toggle menu to snap.","Lorsque des objets sont déposés, ils se calent sur la position la plus proche sur la grille. Les objets doivent avoir la grille activée sur leur menu bascule pour casser."
When picked up objects above this one will be attached to it.,,When picked up objects above this one will be attached to it.,Lorsque ramassé des objets au-dessus de celui-ci sera attaché.
When rotating objects this is the degrees by which they will spin.,,When rotating objects this is the degrees by which they will spin.,Lors de la rotation des objets ce sont les degrés par lesquels ils tourneront.
Whether to log all players' measurements to the chat window.,,Whether to log all players' measurements to the chat window.,Que ce soit pour connecter les mesures de tous les joueurs à la fenêtre de chat.
Whether to measure in Imperial (inches) or Metric (cm),,Whether to measure in Imperial (inches) or Metric (cm),Que ce soit pour mesurer Imperial (pouces) ou métrique (cm)
"While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack.",,"While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack.","While holding a group of objects, hold and press the right mouse button to drop the last item grabbed. This will also drop the bottom card of a deck or an item from a stack."
"While holding an object, press plus to flip on the other axis. You can also use + the middle mouse button.",,"While holding an object, press plus to flip on the other axis. You can also use + the middle mouse button.","Tout en maintenant un objet, appuyez sur Alt + F pour retourner sur un autre axe. Vous pouvez également utiliser Alt + Bouton millieu de la souris."
"While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object.",,"While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object.","While holding over a card or object, press to see the backside. Players will be notified when someone is peeking with an eye icon over the object."
While holding the deck shake it with your finger.,,While holding the deck shake it with your finger.,"Tout en maintenant tenant le paquet, secouer votre doigt."
While holding the deck shake your hand.,,While holding the deck shake your hand.,"Tout en maintenant tenant le paquet, secouer votre main."
While holding the deck shake your mouse.,,While holding the deck shake your mouse.,"Tout en maintenant tenant le paquet, secouer votre souris."
While holding the deck shake your pointer.,,While holding the deck shake your pointer.,"Tout en maintenant tenant le paquet, secouer votre curseur."
While holding the die shake it with your finger.,,While holding the die shake it with your finger.,"Tout en maintenant le dé, secouez votre doigt."
While holding the die shake your mouse.,,While holding the die shake your mouse.,"Tout en maintenant le dé, secouez votre souris."
While holding the die shake your pointer.,,While holding the die shake your pointer.,"Tout en maintenant le dé, secouez votre curseur."
While in VR,,While in VR,En VR
White,,White,Blanc
White Backgammon,,White Backgammon,Backgammon Blanc
White Bowl,,White Bowl,Bol blanc
White Piece,,White Piece,Piece blanche
Width,,Width,Largeur
"With the flick tool selected, grab and object and pull. Your pointer will change to the flick pointer. Let go to flick the object. This is useful for games like pool, golf, shuffle board and many others.",,"With the flick tool selected, grab and object and pull. Your pointer will change to the flick pointer. Let go to flick the object. This is useful for games like pool, golf, shuffle board and many others.","Avec le curseur pointez un objet et étirez une ligne dans la direction opposée de l'endroit où vous souhaitez propulser l'objet (avec plus ou moins de force). Utile pour les jeux de billes, billards, golf, palet et bien d'autres."
Wolf,,Wolf,Loup
Wonderful spinning! Let's pick up more than one object.,,Wonderful spinning! Let's pick up more than one object.,Merveilleuse rotation ! Prennons plus d'un objet en main.
Wood,,Wood,Bois
Workshop Description:,,Workshop Description:,Description de l'atelier :
Workshop ID:,,Workshop ID:,Workshop ID :
Workshop Tags,,Workshop Tags,Mots clés Workshop
Workshop Tags:,,Workshop Tags:,Workshop Tags :
Workshop Thumbnail URL:,,Workshop Thumbnail URL:,Workshop URL Miniature :
Workshop Title:,,Workshop Title:,Titre du Workshop :
Workshop Upload,,Workshop Upload,Uploader sur le Workshop
